REGION,PRVNC,Ingreso_mensual_pesos_hogar,Sexo,Edad,Nivel_de_instrucción,COB_SALUD,PROMEDIO_FV_DIARIO,Sit_laboral,Indice_NBI_hogar_dic,PROMEDIO_FV_DIARIO_Dic
2,6,1400,Varon,70,Primario,Salud_Privada,2.85714285714286,Inactivo,0,No_cumple
1,2,3000,Mujer,62,Terciario_universitario,Salud_Privada,2.71428571428571,Ocupado,0,No_cumple
6,94,6000,Varon,59,Secundario,Salud_Privada,2,Ocupado,0,No_cumple
4,54,1500,Mujer,52,Primario,Salud_Privada,4,Inactivo,0,Cumple
2,14,2000,Varon,40,Primario,Salud_Privada,1.57142857142857,Ocupado,0,No_cumple
1,6,800,Mujer,34,Secundario,Salud_Publica,2.28571428571429,Desocupado,0,No_cumple
1,6,5000,Mujer,45,Secundario,Salud_Privada,1.14285714285714,Ocupado,0,No_cumple
3,10,2600,Mujer,54,Primario,Salud_Privada,3,Ocupado,0,Cumple
4,34,500,Varon,79,Primario,Salud_Privada,3,Inactivo,1,Cumple
6,62,300,Mujer,60,Primario,Salud_Publica,0.857142857142857,Inactivo,0,No_cumple
3,38,2200,Varon,18,Secundario,Salud_Privada,6.57142857142857,Inactivo,0,Cumple
3,90,2800,Varon,54,Primario,Salud_Privada,0.428571428571429,Ocupado,0,No_cumple
5,70,4000,Mujer,56,Secundario,Salud_Privada,1.71428571428571,Inactivo,0,No_cumple
3,38,1200,Mujer,29,Terciario_universitario,Salud_Privada,0.714285714285714,Ocupado,0,No_cumple
4,54,1000,Varon,55,Primario,Salud_Privada,1.85714285714286,Inactivo,0,No_cumple
3,90,3500,Mujer,33,Terciario_universitario,Salud_Privada,1.42857142857143,Ocupado,0,No_cumple
1,2,3000,Mujer,63,Terciario_universitario,Salud_Privada,2,Inactivo,0,No_cumple
4,18,6000,Varon,56,Terciario_universitario,Salud_Privada,2,Ocupado,0,No_cumple
3,66,1500,Mujer,64,Secundario,Salud_Privada,1.14285714285714,Inactivo,0,No_cumple
2,6,1700,Varon,69,Secundario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
4,22,5000,Mujer,37,Terciario_universitario,Salud_Privada,1.42857142857143,Ocupado,0,No_cumple
3,10,1000,Varon,63,Primario,Salud_Privada,2.14285714285714,Inactivo,0,No_cumple
2,14,3000,Varon,41,Secundario,Salud_Privada,0,Ocupado,0,No_cumple
1,2,5000,Varon,20,Terciario_universitario,Salud_Privada,5.57142857142857,Inactivo,0,Cumple
5,74,5000,Mujer,83,Primario,Salud_Privada,2.85714285714286,Inactivo,0,No_cumple
6,58,4000,Mujer,68,Primario,Salud_Privada,2.42857142857143,Inactivo,0,No_cumple
3,46,1000,Mujer,18,Terciario_universitario,Salud_Publica,1.42857142857143,Inactivo,0,No_cumple
2,6,7000,Mujer,44,Secundario,Salud_Privada,4,Ocupado,0,Cumple
6,62,1100,Varon,72,Terciario_universitario,Salud_Privada,3,Inactivo,0,Cumple
5,50,800,Mujer,19,Secundario,Salud_Publica,2,Desocupado,0,No_cumple
5,50,4000,Mujer,57,Secundario,Salud_Privada,4,Ocupado,0,Cumple
3,38,4000,Varon,48,Terciario_universitario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
3,38,1400,Varon,57,Primario,Salud_Publica,3.14285714285714,Ocupado,0,Cumple
3,38,500,Mujer,45,Primario,Salud_Publica,1.85714285714286,Ocupado,0,No_cumple
6,62,4000,Mujer,34,Terciario_universitario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
5,50,600,Varon,46,Secundario,Salud_Publica,0.142857142857143,Ocupado,0,No_cumple
3,66,1800,Varon,28,Secundario,Salud_Publica,3.42857142857143,Ocupado,0,Cumple
6,26,1500,Mujer,73,Terciario_universitario,Salud_Privada,0.857142857142857,Inactivo,0,No_cumple
4,54,1500,Mujer,48,Primario,Salud_Privada,2.42857142857143,Ocupado,0,No_cumple
3,66,1800,Varon,45,Secundario,Salud_Privada,1.28571428571429,Ocupado,0,No_cumple
3,10,2000,Varon,29,Primario,Salud_Publica,2,Ocupado,0,No_cumple
2,82,3500,Mujer,61,Secundario,Salud_Privada,1.42857142857143,Inactivo,0,No_cumple
5,74,600,Mujer,24,Secundario,Salud_Privada,3.71428571428571,Ocupado,1,Cumple
3,90,1400,Mujer,38,Primario,Salud_Privada,1.42857142857143,Ocupado,0,No_cumple
6,94,7000,Mujer,31,Secundario,Salud_Privada,1.71428571428571,Ocupado,0,No_cumple
2,6,1250,Varon,29,Primario,Salud_Publica,0.857142857142857,Ocupado,0,No_cumple
3,86,350,Mujer,55,Secundario,Salud_Privada,1.28571428571429,Ocupado,0,No_cumple
4,18,3500,Mujer,35,Terciario_universitario,Salud_Privada,1.57142857142857,Ocupado,0,No_cumple
6,78,2000,Mujer,74,Primario,Salud_Privada,1,Inactivo,0,No_cumple
6,78,3000,Varon,55,Primario,Salud_Privada,2.85714285714286,Inactivo,0,No_cumple
2,14,1600,Mujer,73,Primario,Salud_Privada,1.57142857142857,Inactivo,0,No_cumple
3,46,600,Varon,39,Primario,Salud_Publica,0.857142857142857,Ocupado,1,No_cumple
1,2,1600,Varon,78,Terciario_universitario,Salud_Privada,2,Inactivo,0,No_cumple
1,6,1900,Mujer,77,Primario,Salud_Privada,2,Inactivo,0,No_cumple
