"","Año_Edicion","Cod_region","Provincia","Region","Genero","Edad","Rango_edad","Nivel_de_instrucción","Sit_laboral","Quintil_ingresos","Ingreso_mensual_pesos_hogar","Cobertura_salud","Indice_NBI_hogar_dic","Promedio_fyv_dia","Promedio_fv_Diario_Dic","Cumple_No_Cumple_FyV"
"1",2018,1,"CABA",1,"Masculino",32,2,"Terciario_Universitario","Ocupado","5",50000,"Salud_Publica","0",4,"Cumple","1"
"2",2018,1,"CABA",1,"Femenino",65,4,"Terciario_Universitario","Ocupado","5",40000,"Salud_Privada","0",6.43,"Cumple","1"
"3",2018,1,"CABA",1,"Femenino",33,3,"Terciario_Universitario","Ocupado","5",40000,"Salud_Privada","0",2.86,"No_cumple","0"
"4",2018,1,"CABA",1,"Femenino",64,4,"Terciario_Universitario","Ocupado","5",80000,"Salud_Privada","1",1.43,"No_cumple","0"
"5",2018,1,"CABA",1,"Masculino",24,2,"Secundario","Ocupado","5",30000,"Salud_Privada","0",1.43,"No_cumple","0"
"6",2018,1,"CABA",1,"Masculino",25,2,"Secundario","Ocupado","5",30000,"Salud_Privada","0",1,"No_cumple","0"
"7",2018,1,"CABA",1,"Masculino",26,2,"Secundario","Ocupado","5",80000,"Salud_Privada","0",0,"No_cumple","0"
"8",2018,1,"CABA",1,"Femenino",42,4,"Terciario_Universitario","Ocupado","5",40000,"Salud_Privada","1",2.86,"No_cumple","0"
"9",2018,1,"CABA",1,"Masculino",32,2,"Terciario_Universitario","Ocupado","5",40000,"Salud_Publica","0",0.86,"No_cumple","0"
"10",2018,1,"CABA",1,"Femenino",84,5,"Terciario_Universitario","Inactivo","5",45000,"Salud_Privada","0",5,"Cumple","1"
"11",2018,1,"CABA",1,"Femenino",56,4,"Terciario_Universitario","Ocupado","3",12000,"Salud_Privada","0",10,"Cumple","1"
"12",2018,1,"CABA",1,"Masculino",76,5,"Secundario","Inactivo","3",16000,"Salud_Privada","0",3.43,"Cumple","1"
"13",2018,1,"CABA",1,"Femenino",27,2,"Secundario","Ocupado","5",32000,"Salud_Privada","0",0.71,"No_cumple","0"
"14",2018,1,"CABA",1,"Femenino",63,4,"Terciario_Universitario","Inactivo","5",37000,"Salud_Privada","0",0,"No_cumple","0"
"15",2018,1,"CABA",1,"Femenino",59,5,"Secundario","Ocupado","3",27000,"Salud_Privada","0",1.57,"No_cumple","0"
"16",2018,1,"CABA",1,"Masculino",25,4,"Secundario","Inactivo","5",80000,"Salud_Privada","0",3,"Cumple","1"
"17",2018,1,"CABA",1,"Masculino",77,5,"Terciario_Universitario","Inactivo","5",100000,"Salud_Privada","0",9.14,"Cumple","1"
"18",2018,1,"CABA",1,"Masculino",52,4,"Terciario_Universitario","Ocupado","4",40000,"Salud_Privada","0",1.71,"No_cumple","0"
"19",2018,1,"CABA",1,"Femenino",31,2,"Terciario_Universitario","Ocupado","5",50000,"Salud_Privada","0",0.43,"No_cumple","0"
"20",2018,1,"CABA",1,"Femenino",70,5,"Terciario_Universitario","Ocupado","4",18000,"Salud_Privada","0",2.7,"No_cumple","0"
"21",2018,1,"CABA",1,"Masculino",29,2,"Terciario_Universitario","Ocupado","5",25000,"Salud_Publica","1",1.43,"No_cumple","0"
"22",2018,1,"CABA",1,"Masculino",37,3,"Terciario_Universitario","Ocupado","5",70000,"Salud_Privada","0",3,"Cumple","1"
"23",2018,1,"CABA",1,"Masculino",39,3,"Primario","Ocupado","3",30000,"Salud_Privada","0",0.14,"No_cumple","0"
