"","Año_Edicion","Cod_region","Provincia","Porcentaje_hogares_NBI","Porcentaje_población_NBI"
"1",2009,1,"CABA",7.09176801296191,7.79636527476914
"2",2009,1,"Buenos Aires",12.971486348817,15.7639466676471
"3",2009,3,"Catamarca",18.3694198724542,21.4528020263241
"4",2009,2,"Córdoba",11.1032963926398,12.9981977211192
"5",2009,4,"Corrientes",24.0492660107897,28.5419753673088
"6",2009,4,"Chaco",27.5721926929827,33.0329906975509
"7",2009,6,"Chubut",13.4251470908695,15.5012155012155
"8",2009,2,"Entre Ríos",14.7160696525267,17.6243977386817
"9",2009,4,"Formosa",28.0059086777148,33.6310378081241
"10",2009,3,"Jujuy",26.1439938996406,28.7932978524068
"11",2009,2,"La Pampa",9.17620361986014,10.3296072405525
"12",2009,3,"La Rioja",17.4119023249013,20.4
"13",2009,5,"Mendoza",13.1,15.3840508213022
"14",2009,4,"Misiones",23.4953447600892,27.1115060176958
"15",2009,6,"Neuquén",15.4911142102516,17.0024174053183
"16",2009,6,"Río Negro",16.1,17.8648199425678
"17",2009,3,"Salta",27.5,31.6184458682499
"18",2009,5,"San Juan",14.3,17.4168348245859
"19",2009,5,"San Luis",13,15.6252481143311
"20",2009,6,"Santa Cruz",10.1,10.3629226708703
"21",2009,2,"Santa Fe",11.9,14.7946635917946
"22",2009,3,"Santiago del Estero",26.2,31.3202371747871
"23",2009,6,"Tierra del Fuego",15.5,14.1239582913966
"24",2009,3,"Tucumán",20.5,23.8618511383551
"25",2013,1,"CABA",7.09176801296191,7.79636527476914
"26",2013,1,"Buenos Aires",12.971486348817,15.7639466676471
"27",2013,3,"Catamarca",18.3694198724542,21.4528020263241
"28",2013,2,"Córdoba",11.1032963926398,12.9981977211192
"29",2013,4,"Corrientes",24.0492660107897,28.5419753673088
"30",2013,4,"Chaco",27.5721926929827,33.0329906975509
"31",2013,6,"Chubut",13.4251470908695,15.5012155012155
"32",2013,2,"Entre Ríos",14.7160696525267,17.6243977386817
"33",2013,4,"Formosa",28.0059086777148,33.6310378081241
"34",2013,3,"Jujuy",26.1439938996406,28.7932978524068
"35",2013,2,"La Pampa",9.17620361986014,10.3296072405525
"36",2013,3,"La Rioja",17.4119023249013,20.4
"37",2013,5,"Mendoza",13.1,15.3840508213022
"38",2013,4,"Misiones",23.4953447600892,27.1115060176958
"39",2013,6,"Neuquén",15.4911142102516,17.0024174053183
"40",2013,6,"Río Negro",16.1,17.8648199425678
"41",2013,3,"Salta",27.5,31.6184458682499
"42",2013,5,"San Juan",14.3,17.4168348245859
"43",2013,5,"San Luis",13,15.6252481143311
"44",2013,6,"Santa Cruz",10.1,10.3629226708703
"45",2013,2,"Santa Fe",11.9,14.7946635917946
"46",2013,3,"Santiago del Estero",26.2,31.3202371747871
"47",2013,6,"Tierra del Fuego",15.5,14.1239582913966
"48",2013,3,"Tucumán",20.5,23.8618511383551
"49",2018,1,"CABA",5.9838244934938,7.01345871934388
"50",2018,1,"Buenos Aires",8.14096156496191,11.2227479163857
"51",2018,3,"Catamarca",11.3450900511453,14.5602895176728
"52",2018,2,"Córdoba",6.00556480007133,8.73184076029282
"53",2018,4,"Corrientes",15.0965096696378,19.7213528664385
"54",2018,4,"Chaco",18.1621666863138,23.1215638071371
"55",2018,6,"Chubut",8.44620770395633,10.7139199428077
"56",2018,2,"Entre Ríos",8.04833640345382,11.5653308358928
"57",2018,4,"Formosa",19.7308681924121,25.2311212988334
"58",2018,3,"Jujuy",15.46297886961,18.1298763653823
"59",2018,2,"La Pampa",3.78828686591006,5.72170205465307
"60",2018,3,"La Rioja",12.2406778488864,15.5
"61",2018,5,"Mendoza",7.61295042245893,10.2961292834438
"62",2018,4,"Misiones",15.6479717976056,19.1260134117041
"63",2018,6,"Neuquén",10.3565275172442,12.4145731239299
"64",2018,6,"Río Negro",9.424717228361,11.6962286510089
"65",2018,3,"Salta",19.4139976116934,23.6793766812601
"66",2018,5,"San Juan",10.2424430583387,14.0322424944493
"67",2018,5,"San Luis",7.87806684420353,10.7371069299814
"68",2018,6,"Santa Cruz",8.22201770257714,9.72901150917828
"69",2018,2,"Santa Fe",6.43440905587838,9.46406289979688
"70",2018,3,"Santiago del Estero",17.6245843366586,22.6994719901423
"71",2018,6,"Tierra del Fuego",14.2422445836328,14.5105120598478
"72",2018,3,"Tucumán",13.2803130206383,16.4390644758741
