"","X","Año_Edicion","Cod_region","Provincia","Total_n_Hogares","Distribución_porcentual","TOTAL","GRUPO.HORTALIZAS.ha.","GRUPO.FRUTALES.ha.","Num_habitantes","Ha_Hort_x_habitantes","Ha_Frut_x_habitantes","Ha_Hort_x_10mil_habitantes","Ha_Frut_x_10mil_habitantes","Ha_Hort_x_TotalHa","Ha_Frut_x_TotalHa"
"1",1,2009,1,"CABA",72658,5.03543474614917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2009,1,"Buenos Aires",508671,35.2525479335853,10974981.5,28335.1,4961.4,14917940,0.00189939763801168,0.00033257943120833,18.9939763801168,3.3257943120833,0.00258179022898581,0.000452064543343422
"3",3,2009,3,"Catamarca",14287,0.990135376947248,219857.1,2723.4,30205.6,380612,0.00715531827688039,0.0793606087038769,71.5531827688039,793.606087038769,0.0123871369175705,0.13738742119313
"4",4,2009,2,"Córdoba",97405,6.7504820040279,8718403.8,18392.8,4935.3,3311280,0.0055545891618951,0.0014904508226426,55.545891618951,14.904508226426,0.00210965222785391,0.000566078391551444
"5",5,2009,4,"Corrientes",54341,3.76600731564992,390765.7,656.3,15865.1,1002416,0.000654718200826802,0.0158268623006816,6.54718200826802,158.268623006816,0.00167952304923385,0.0406000321932043
"6",6,2009,4,"Chaco",65672,4.55128231783297,1189386.3,4859.4,83.8,1042881,0.00465959203399046,8.03543261407581e-05,46.5959203399046,0.803543261407581,0.00408563643283936,7.04565034925995e-05
"7",7,2009,6,"Chubut",15402,1.06740848853794,34035,437.7,605.1,455607,0.000960696389651608,0.001328118312493,9.60696389651608,13.28118312493,0.0128602908770383,0.0177787571617453
"8",8,2009,2,"Entre Ríos",46608,3.23008536772992,2327935.7,518.5,41652.6,1242547,0.000417288038198957,0.0335219512823257,4.17288038198958,335.219512823257,0.000222729519548156,0.0178925045051717
"9",9,2009,4,"Formosa",32041,2.22054508383613,138730.4,4692.5,2906.4,532238,0.00881654447822215,0.00546071494331483,88.1654447822215,54.6071494331483,0.0338245979251844,0.0209499864485362
"10",10,2009,3,"Jujuy",37028,2.56616033720184,153075.4,4979.4,6837.6,670766,0.00742345318635709,0.0101937188229576,74.2345318635709,101.937188229576,0.0325290673746402,0.0446681831306663
"11",11,2009,2,"La Pampa",8411,0.582909544026269,2672676.9,14.1,316.4,329576,4.27822414253465e-05,0.000960021360778697,0.427822414253465,9.60021360778697,5.27560963317339e-06,0.000118383183541565
"12",12,2009,3,"La Rioja",11908,0.825262971140745,72212.5,607.7,35094.9,334235,0.00181818181818182,0.105000673179051,18.1818181818182,1050.00673179051,0.0084154405400727,0.485994806993249
"13",13,2009,5,"Mendoza",53841,3.73135569610252,272876.4,31054.8,209491.6,1711416,0.018145675861392,0.1224083449027,181.45675861392,1224.083449027,0.113805371223015,0.767716079514388
"14",14,2009,4,"Misiones",55215,3.82657834661876,718335.1,8415.6,6157,1061590,0.00792735425164141,0.00579979087971816,79.2735425164141,57.9979087971816,0.0117154236233201,0.00857120861837324
"15",15,2009,6,"Neuquén",19883,1.37795630292169,53372.7,355.6,7534.7,538952,0.000659799017352195,0.0139802802475916,6.59799017352195,139.802802475916,0.00666258218152726,0.141171422843514
"16",16,2009,6,"Río Negro",24823,1.72031430404994,106304.5,2666.9,36540.8,594189,0.00448830254346681,0.0614969311111448,44.8830254346681,614.969311111448,0.0250873669505995,0.343737094854874
"17",17,2009,3,"Salta",66434,4.6040913860232,1247707.9,7539.1,16031.4,1202753,0.00626820303087999,0.0133289212332042,62.6820303087999,133.289212332042,0.00604235975423414,0.0128486803682176
"18",18,2009,5,"San Juan",21361,1.48038649030378,81272.7,5603.1,66331.6,685883,0.00816917754194229,0.0967097886957397,81.6917754194229,967.097886957397,0.0689419694436139,0.816160900277707
"19",19,2009,5,"San Luis",13201,0.914872059290307,837423.6,56,307.2,428025,0.000130833479352842,0.000717715086735588,1.30833479352842,7.17715086735588,6.68717719443302e-05,0.00036683943466604
"20",20,2009,6,"Santa Cruz",5463,0.378603595174831,10441,20.7,178.2,221871,9.3297456630204e-05,0.000803169409251322,0.93297456630204,8.03169409251322,0.00198256871947132,0.0170673307154487
"21",21,2009,2,"Santa Fe",103557,7.17683553093905,5341488.8,6110.3,651.1,3220818,0.00189712675475609,0.000202153614392369,18.9712675475609,2.02153614392369,0.00114393200637246,0.000121894854483267
"22",22,2009,3,"Santiago del Estero",46684,3.23535241390112,1298021.4,9043.1,375.3,856739,0.01055525661841,0.000438056397572656,105.5525661841,4.38056397572656,0.0069668342910217,0.000289132367155118
"23",23,2009,6,"Tierra del Fuego",4301,0.298073231346687,5293.2,3.1,0.2,122531,2.52997200708392e-05,1.63224000457027e-06,0.252997200708392,0.0163224000457027,0.000585657069447593,3.7784327061135e-05
"24",24,2009,3,"Tucumán",63739,4.41731915666274,632782.2,4944.8,31424.3,1457357,0.0033929915593777,0.0215625272325175,33.929915593777,215.625272325175,0.00781437910231988,0.0496605309062107
"25",25,2013,1,"CABA",68776,6.19113331690089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,2013,1,"Buenos Aires",390090,35.1188623470928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,2013,3,"Catamarca",10871,0.980639102140836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,2013,2,"Córdoba",61845,5.57455681877473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,2013,4,"Corrientes",40386,3.63684777739195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,2013,4,"Chaco",52394,4.70717564064043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,2013,6,"Chubut",13269,1.19698962417081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,2013,2,"Entre Ríos",30132,2.71594121023154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,2013,4,"Formosa",27686,2.49032494858864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,2013,3,"Jujuy",27013,2.42915307541592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,2013,2,"La Pampa",4086,0.366941280399272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,2013,3,"La Rioja",11159,1.00393838912868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,2013,5,"Mendoza",37634,3.38892177376842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,2013,4,"Misiones",47344,4.26457914650844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,2013,6,"Neuquén",17636,1.58435151517332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,2013,6,"Río Negro",18783,1.68879349275203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,2013,3,"Salta",58259,5.23577259176231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,2013,5,"San Juan",18124,1.63229946870429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,2013,5,"San Luis",9980,0.899496411549969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,2013,6,"Santa Cruz",6745,0.607940468972367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,2013,2,"Santa Fe",65733,5.92593525496977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,2013,3,"Santiago del Estero",38439,3.45675058608052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,2013,6,"Tierra del Fuego",5544,0.499810187275891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,2013,3,"Tucumán",48907,4.40284557160617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,2018,1,"CABA",68776,6.19113331690089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,2018,1,"Buenos Aires",390090,35.1188623470928,11196633.8,28878.2,5959.9,16841135,0.00171474191020973,0.000353889449850025,17.1474191020973,3.53889449850025,0.00257918589781868,0.000532293911407552
"51",51,2018,3,"Catamarca",10871,0.980639102140836,158357.7,5331.6,24980.3,400678,0.0133064455747508,0.0623450750977094,133.064455747508,623.450750977094,0.0336680818173035,0.157746039504236
"52",52,2018,2,"Córdoba",61845,5.57455681877473,8077697.2,15803.6,4990.6,3606540,0.00438192838565495,0.00138376393995353,43.8192838565495,13.8376393995353,0.00195644867698185,0.000617824594861021
"53",53,2018,4,"Corrientes",40386,3.63684777739195,508147.1,2763.2,20474.9,1080655,0.00255696776492035,0.0189467498877995,25.5696776492035,189.467498877995,0.00543779547300378,0.0402932536661136
"54",54,2018,4,"Chaco",52394,4.70717564064043,1185579.3,3263.8,2215,1155723,0.00282403309443526,0.00191654920772538,28.2403309443526,19.1654920772538,0.00275291581086141,0.00186828498102151
"55",55,2018,6,"Chubut",13269,1.19698962417081,41677.5,622.4,554.3,577466,0.00107781237336917,0.000959883352439797,10.7781237336917,9.59883352439797,0.0149337172335193,0.0132997420670626
"56",56,2018,2,"Entre Ríos",30132,2.71594121023154,2247040.4,442.2,33877.7,329499,0.00134203745686633,0.102815790032747,13.4203745686633,1028.15790032747,0.000196792189406118,0.0150765869630114
"57",57,2018,4,"Formosa",27686,2.49032494858864,274266.7,4196.9,2288.4,584614,0.0071789248974537,0.00391437769194717,71.789248974537,39.1437769194717,0.0153022587138723,0.00834370340985617
"58",58,2018,3,"Jujuy",27013,2.42915307541592,169192.4,4588.8,6603.1,736542,0.00623019461211988,0.00896500131696495,62.3019461211988,89.6500131696495,0.0271217856121197,0.0390271667048875
"59",59,2018,2,"La Pampa",4086,0.366941280399272,1742122.4,14,110.8,346191,4.04401038732954e-05,0.000320054536368652,0.404401038732954,3.20054536368652,8.03617472572536e-06,6.36005828293121e-05
"60",60,2018,3,"La Rioja",11159,1.00393838912868,51149.2,906.9,36620.9,372879,0.00243215627589647,0.0982112159708645,24.3215627589647,982.112159708645,0.017730482588193,0.715962321991351
"61",61,2018,5,"Mendoza",37634,3.38892177376842,267132.2,32638.1,190841.3,1907045,0.0171144886460466,0.100071734017813,171.144886460466,1000.71734017813,0.122179579998218,0.714407697761633
"62",62,2018,4,"Misiones",47344,4.26457914650844,631712.9,1621.5,4363.6,1204182,0.00134655724799075,0.00362370472237585,13.4655724799075,36.2370472237585,0.00256683059662071,0.00690756829566089
"63",63,2018,6,"Neuquén",17636,1.58435151517332,64921,537.6,7478.4,628897,0.000854829964207175,0.0118912953949534,8.54829964207175,118.912953949534,0.00828083362856395,0.115192310654488
"64",64,2018,6,"Río Negro",18783,1.68879349275203,99436.4,3891.5,36318.6,708799,0.00549027298289078,0.0512396321100904,54.9027298289078,512.396321100904,0.0391355680615952,0.365244518104034
"65",65,2018,3,"Salta",58259,5.23577259176231,1020315.9,8469.5,10294.4,1351878,0.00626498840871736,0.0076148883257217,62.6498840871736,76.148883257217,0.00830086054720896,0.0100894242655632
"66",66,2018,5,"San Juan",18124,1.63229946870429,66052.6,5112.8,50684.2,747488,0.00683997602637099,0.0678060383578064,68.3997602637099,678.060383578064,0.0774049772454074,0.767330884779706
"67",67,2018,5,"San Luis",9980,0.899496411549969,951562,1930.1,348.9,482796,0.00399775474527544,0.000722665473616186,39.9775474527544,7.22665473616186,0.0020283491774577,0.000366660291184389
"68",68,2018,6,"Santa Cruz",6745,0.607940468972367,11499.4,9,225.6,329499,2.73141951872388e-05,0.000684675826026786,0.273141951872388,6.84675826026786,0.000782649529540672,0.0196184148738195
"69",69,2018,2,"Santa Fe",65733,5.92593525496977,4841292.2,5349.9,501.7,3425656,0.00156171547872875,0.000146453701130528,15.6171547872875,1.46453701130528,0.0011050562079273,0.000103629357467826
"70",70,2018,3,"Santiago del Estero",38439,3.45675058608052,1991609.4,6816.9,377.2,938109,0.00726663959092174,0.000402085471944092,72.6663959092174,4.02085471944092,0.00342280971359143,0.000189394567027049
"71",71,2018,6,"Tierra del Fuego",5544,0.499810187275891,98.7,6.5,61,156509,4.15311579525778e-05,0.000389753943862653,0.415311579525778,3.89753943862653,0.0658561296859169,0.618034447821682
"72",72,2018,3,"Tucumán",48907,4.40284557160617,548728.8,6402.2,52852.6,1613476,0.00396795489985596,0.0327569793414962,39.6795489985596,327.569793414962,0.0116673300180344,0.0963182541175167
