Año_Edicion,Provincia,GRUPO.HORTALIZAS.ha.,GRUPO.FRUTALES.ha.
2009,Buenos Aires,28335.099999999999,4961.3999999999996
2009,Catamarca,2723.4000000000001,30205.599999999999
2009,Chaco,4859.3999999999996,83.799999999999997
2009,Chubut,437.69999999999999,605.10000000000002
2009,Córdoba,18392.799999999999,4935.3000000000002
2009,Corrientes,656.29999999999995,15865.1
2009,Entre Ríos,518.5,41652.599999999999
2009,Formosa,4692.5,2906.4000000000001
2009,Jujuy,4979.3999999999996,6837.6000000000004
2009,La Pampa,14.1,316.39999999999998
2009,La Rioja,607.70000000000005,35094.900000000001
2009,Misiones,8415.6000000000004,6157
2009,Mendoza,31054.799999999999,209491.60000000001
2009,Neuquén,355.60000000000002,7534.6999999999998
2009,Río Negro,2666.9000000000001,36540.800000000003
2009,Salta,7539.1000000000004,16031.4
2009,San Juan,5603.1000000000004,66331.600000000006
2009,San Luis,56,307.19999999999999
2009,Santa Cruz,20.699999999999999,178.19999999999999
2009,Santa Fe,6110.3000000000002,651.10000000000002
2009,Santiago del Estero,9043.1000000000004,375.30000000000001
2009,Tierra del Fuego,3.1000000000000001,0.20000000000000001
2009,Tucumán,4944.8000000000002,31424.299999999999
